"entity_id","ENSG00000002586.16","ENSG00000005381.7","ENSG00000007516.12","ENSG00000019991.14","ENSG00000037280.14","ENSG00000065054.12","ENSG00000067177.13","ENSG00000078399.14","ENSG00000078596.9","ENSG00000086205.15","ENSG00000087495.15","ENSG00000091490.9","ENSG00000091972.17","ENSG00000095917.12","ENSG00000102595.17","ENSG00000105996.6","ENSG00000105997.21","ENSG00000106004.4","ENSG00000106006.6","ENSG00000106538.8","ENSG00000111885.6","ENSG00000113140.9","ENSG00000113389.14","ENSG00000115935.15","ENSG00000116176.6","ENSG00000116985.9","ENSG00000119280.15","ENSG00000122592.7","ENSG00000129194.6","ENSG00000129467.12","ENSG00000132122.10","ENSG00000132975.7","ENSG00000133138.18","ENSG00000134569.8","ENSG00000136040.7","ENSG00000136854.16","ENSG00000137449.14","ENSG00000137571.9","ENSG00000139117.12","ENSG00000139354.9","ENSG00000143994.12","ENSG00000144668.10","ENSG00000145916.17","ENSG00000147257.12","ENSG00000147488.10","ENSG00000151917.16","ENSG00000152953.11","ENSG00000154864.10","ENSG00000156298.11","ENSG00000156968.8","ENSG00000158747.12","ENSG00000162078.10","ENSG00000163106.9","ENSG00000164929.15","ENSG00000165716.8","ENSG00000166908.16","ENSG00000167419.9","ENSG00000167664.7","ENSG00000168916.14","ENSG00000170893.3","ENSG00000171517.5","ENSG00000172236.15","ENSG00000172889.14","ENSG00000174059.15","ENSG00000177380.12","ENSG00000177398.17","ENSG00000179954.13","ENSG00000181433.8","ENSG00000182168.13","ENSG00000182749.5","ENSG00000183971.5","ENSG00000188626.6","ENSG00000189068.8","ENSG00000196557.9","ENSG00000197253.12","ENSG00000197496.5","ENSG00000197576.12","ENSG00000198185.10","ENSG00000198576.3","ENSG00000198842.8","ENSG00000203797.8","ENSG00000205696.4","ENSG00000206557.5","ENSG00000213759.7","ENSG00000225792.1","ENSG00000226562.3","ENSG00000228401.4","ENSG00000230453.8","ENSG00000230749.4","ENSG00000232046.5","ENSG00000232431.3","ENSG00000236939.2","ENSG00000239887.4","ENSG00000242600.5","ENSG00000243587.6","ENSG00000248334.5","ENSG00000248347.3","ENSG00000250696.4","ENSG00000253187.2","ENSG00000253293.4","ENSG00000253552.6","ENSG00000254006.4","ENSG00000254369.5","ENSG00000257654.1","ENSG00000257718.1","ENSG00000257883.1","ENSG00000258733.4","ENSG00000260182.1","ENSG00000262877.4","ENSG00000263961.5","ENSG00000267453.5","ENSG00000270182.1","ENSG00000271447.4","ENSG00000275325.3","ENSG00000275342.3","ENSG00000276141.3","ENSG00000277867.1"
"c78f2949-4050-5f14-a401-beddf3ff9f61",7.57361852897921,10.0970532755276,-1.0471046365758,5.33348660686833,-1.59736537872411,-0.958392235047063,-1.81379155068489,-1.24278887436377,6.23771182717108,-6.92714510255903,-6.92714510255903,2.72398035686594,4.49218832962718,-1.53188263308086,-2.06851444274361,-6.92714510255903,-0.720932445066417,-1.29615801695327,-4.68375784478737,-2.49800372238013,5.72324788700808,4.04617221737672,-0.0365177133696786,7.00095384851615,-6.92714510255903,-1.0935940286912,0.625552785811723,-5.40733276539579,1.33624685575399,3.48482638801134,-0.338514244877422,-6.92714510255903,-6.92714510255903,-1.66596223967264,3.18718251054023,0.0727709013623487,3.96627258466572,-0.549125178649258,-4.68375784478737,-4.68375784478737,-1.24278887436377,3.23734454536116,-0.23067046068881,-5.40733276539579,3.97051566090487,-3.55730353322912,0.521433654932814,-2.62882589805951,0.474403214804724,-2.37806436462542,0.442175649081948,-6.92714510255903,2.75382785104534,-2.49800372238013,-0.42504052082773,2.05898891197145,-0.916001192063197,3.07868377782084,-5.40733276539579,2.41915373720676,-5.40733276539579,1.15921903121076,3.46491407157852,7.279133,-0.7958255,3.25832,-1.191324,3.003377,-6.927145,-0.4250405,5.491925,-5.407333,2.121377,-5.407333,0.1938472,-6.927145,-6.927145,-5.407333,-1.093594,-5.407333,-6.927145,-6.927145,1.207952,-6.927145,-5.407333,-6.927145,-2.378064,-3.557304,-6.927145,-6.927145,-6.927145,-6.927145,-2.772705,-6.927145,-6.927145,-0.9160012,-6.927145,-5.407333,-4.204108,-4.204108,-6.927145,-2.932538,-4.683758,0.5214337,-6.927145,2.958512,1.217504,-6.927145,0.3233479,2.010361,5.983658,-6.927145,-1.242789,-5.407333,-0.05940523,-1.141632,-6.927145
"1507ac24-8ba2-5e57-a05a-86b5157c8377",7.05125822020686,9.28693560091733,-0.11378365747317,3.81298493927756,0.00586807520209618,2.12041610362008,-2.0480326481223,5.7896054035052,4.4934991288406,-4.28635818158389,-5.2292345282311,5.30079723450386,1.09019429143363,0.633369090427167,2.77871929623169,2.04505550060047,5.68609424289768,4.8770592920292,3.30102448665719,0.0146737908070294,5.04146302440599,2.95031810607582,5.89649384693076,7.08679187726729,-6.92714510255903,0.476489585830032,2.59276719283125,3.09226503151952,0.0832490465227932,3.22433792898719,2.26026573997826,-4.9298852086283,1.25903735551113,-0.560068108186278,3.62738421178375,2.81193501256823,6.70361458028443,-1.52983369153176,3.9768439734944,0.0146737908070294,-0.213088545030882,4.50760360628645,2.70582948255823,-6.92714510255903,-6.12135531808248,2.31475899964171,0.633369090427167,3.38661574647972,-1.23028964813267,2.8106715261924,-0.726178974491802,0.328967406199138,-1.75078970331051,-0.223405586495874,3.85220055064188,4.03372347008597,0.203652629533971,-0.801464443827902,1.86443646791076,-3.4069196170862,-3.60850576002174,3.88318384921101,5.23873465155656,6.574454,-0.8485967,1.807301,1.832421,-4.929885,-1.875407,2.468484,2.012455,1.682999,3.556792,-3.842906,2.896547,-0.05732441,2.14669,2.735429,-2.626834,-5.229235,-1.316015,-2.930571,-3.976131,-0.4961292,1.433346,-0.6971314,-1.636086,1.433346,-1.454984,-1.555672,-0.286907,-6.927145,-0.7860898,-4.470703,0.3147771,3.081828,-0.5600681,0.526602,2.453989,4.262573,2.429504,3.409331,2.03427,-2.68268,-1.843229,-0.1926732,-1.272516,-3.842906,3.523245,6.177643,-4.122922,-0.7860898,-1.189264,3.420971,0.9036873,3.454526,0.1881677
"5f49d1ae-e832-59de-89e1-93b6327232f0",7.43954138909515,8.86677418645754,-0.551767077515399,1.39678468722373,-1.86640113314269,1.19922153513474,-0.668922817651109,5.54007900623924,6.12770372251706,-6.92714510255904,-3.65906563473316,5.17679594506809,1.29618198576936,-0.752669873031855,1.27519135854933,1.08324583565014,5.48286762524779,4.06617304514317,2.63594169480676,-1.20463049448506,4.61584758244107,3.84186059331054,4.05544052049369,6.96468653699219,-6.92714510255904,0.170672850823186,3.31072180810083,1.79357608837843,1.10719882592983,4.26425668779989,0.548502481539726,-6.92714510255904,-1.77599584755402,-1.96285257878393,3.75734620673962,1.56188248310369,5.97091368720485,-0.752669873031855,2.3093371605821,2.98198489412872,-1.3933775789085,3.48309070326807,2.17979437421436,-2.73595680469957,-6.92714510255904,-0.752669873031855,-0.710188751170869,1.37721755273253,0.649829341229942,0.930522408348473,1.99957094651896,-0.188891167133818,-2.91736332869062,-0.796439929476037,3.42233306054931,4.4559921401689,-1.61058900463842,0.565892248208747,1.04655376065473,-0.752669873031855,-6.92714510255904,2.47497486525638,4.60010851495276,4.648861,-1.534493,-0.7101888,-0.04996527,-6.927145,-4.516583,1.786176,2.235191,-0.1317057,2.218794,-4.025029,1.34736,-1.20463,0.9832471,-0.8415796,-0.04996527,-6.927145,-5.267948,-4.516583,-2.298227,-4.516583,-1.20463,-2.735957,-0.8415796,0.1477591,-1.534493,-3.367404,-1.866401,-6.927145,-2.574834,-6.927145,-2.066217,4.044628,-2.429911,-2.429911,2.413867,4.134782,2.564206,0.6000553,1.815551,-1.534493,-1.866401,-3.124906,-1.32768,-6.927145,2.606834,2.05604,-6.927145,-1.962853,-2.429911,2.128051,1.243121,4.701931,-0.8415796
"9d464669-4fa5-5c48-b1b0-f452bee4682e",8.32611956180051,7.39232611086081,-1.48807052570135,2.24160698855306,0.637927383448938,0.394225001418336,-3.25209760258952,5.56952994210991,-1.44944121086596,-6.92714510255903,5.4561537655969,6.41113195090715,-2.38061668751396,-0.888169701373757,1.77535236499335,-0.717812474154763,3.06799829510546,1.61601416943198,1.19008279637379,-0.50479431535746,3.13148814208729,3.27968786966148,-2.61701503438622,7.35180244481543,-1.89206557163592,3.64581472694701,2.09577162749076,2.80989820026439,0.237315939107448,2.57010166667934,1.76717494450681,-4.41383681759027,-0.372429816003213,-4.41383681759027,2.92646978206342,3.67451834709624,2.57010166667934,-3.54606170250429,2.89304030001001,1.51707985090727,0.0612349225848627,0.972625888159908,4.83380785484416,-0.0355807390149342,-2.17755568123058,-2.61701503438622,-0.967824409155535,-1.61058143779433,-0.812683759762205,1.15916884669412,-1.65384469621991,-3.7190592318874,-6.92714510255903,-2.79930776230513,-0.390611609058619,3.92016884738301,1.31874556090964,-4.14335377281861,0.637927383448938,-2.11575895778406,-1.37515361442214,0.329056149129153,0.78287294729814,-0.4090255,3.221025,-3.252098,-0.3906116,-1.610581,4.385744,2.58646,0.5065542,3.457917,-0.7644684,-0.9953842,-0.7644684,2.581805,1.021571,1.007755,-1.237154,-3.915664,-5.804592,-6.927145,-0.6505411,-6.927145,-1.744469,-3.546062,-2.533837,-1.237154,0.4565769,-2.617015,3.691902,-5.804592,1.121176,-3.124899,-2.056501,4.457377,-6.927145,-6.927145,1.389708,4.29196,-0.5449558,3.153615,1.725578,2.069411,-0.3724298,5.065688,-4.74701,-6.927145,2.652322,-0.09396823,-6.927145,-0.6726182,-3.719059,1.597685,3.526136,4.621725,1.48752
"dcc4d9f2-0f77-58ce-8064-f6e12bffa5e7",6.28195890663263,7.90817743264355,3.48239506485265,0.587822942844705,-1.44528104463906,-2.16088382893253,-0.597385391129896,6.98969438113128,6.60230662741874,-6.92714510255903,-3.90048822039507,4.3267328791027,3.77774813833057,-6.92714510255903,-0.84551180485944,0.855799811134939,6.82304686060962,5.51390249626894,3.39378687062373,-1.41986242700234,4.70586610776989,2.36689147278512,-0.461513340238941,6.65689347251617,-6.92714510255903,1.76656619076153,1.93364105278193,2.87546850338769,0.463578134100133,4.59451026758312,-0.685508328470039,-6.92714510255903,-4.39954237118607,-3.64353436249538,4.70044346718404,0.135248802211819,5.99666186500061,-0.337343429627737,1.20120221506992,2.91095911003507,-0.38573664840444,1.61187248965635,3.62965015873559,0.824236510802828,-1.69677641964783,-4.86453348405308,1.52291824000438,-6.92714510255903,-3.76629818175434,0.975569909395532,1.73862013118612,-1.27609387370637,-3.42550093388662,1.99398751633048,3.60896060893177,3.90326420817921,-1.63697803748366,1.18057772662214,2.84957265823156,2.03132528806399,-6.92714510255903,1.00870859658185,3.73665997818177,1.61495,-2.203622,-1.276094,0.6847419,-2.039778,-6.927145,1.438577,3.75909,-2.160884,-1.824366,-3.150023,-1.858107,-0.1690836,2.866458,-4.613385,-1.791395,-6.927145,-0.8455118,-4.399542,-0.2120692,-6.927145,-1.145363,-5.554912,-2.119375,-4.613385,-1.370331,-2.340003,-2.658849,-5.168815,-1.145363,-4.399542,-2.544556,4.017566,-1.187637,-6.927145,1.526191,4.907896,4.005891,-2.71958,1.886028,-2.918807,-3.643534,-1.471156,-1.471156,-6.927145,-0.3254946,-1.0255,-4.399542,-1.346188,-0.9691074,3.82967,2.206805,5.509981,0.9659602
"d3e1f044-8745-56e9-a05e-dc95d94dd899",9.10665791805038,10.3761573267616,0.946749351967485,4.03228082854063,-2.63991131092783,2.14706009171661,0.427728597315607,7.39425342603936,7.045301527308,-6.92714510255904,-1.25652165897898,5.8385342486548,4.17125620422729,1.85934475909929,3.32696073665482,1.57202447363554,5.09138130271259,6.34965392250598,3.99623730303275,-5.15472115900022,6.0101223927721,5.17542588474387,6.24565595089596,7.10172589482401,-6.07480671912752,-0.521762169541864,2.64521610147012,3.35242502282463,-0.128275373370423,2.97528928165497,3.41194523825617,-3.74855017290606,-1.98225292844293,-1.27951638697334,4.77861319020598,-1.35078495117665,5.0880165727837,-1.94501192994567,4.86502710105623,2.45806419508805,-0.98681705626361,4.54990134243646,2.3628960913196,-5.54262567624157,0.901463553344803,3.15217989761564,2.58760909441587,0.550155562318113,-3.88295668223964,1.43395614033163,0.172116459091338,0.990656798259594,-1.30288356616062,4.67963006419494,4.16435014531572,4.18129057807662,1.539547640593,-1.77199215408882,0.517176970479348,1.3352384850054,-1.1467440222022,4.57535603955829,5.01400478579589,7.997821,-3.74855,1.383613,-0.6358217,0.1115416,-4.031184,3.01481,1.300772,-2.059749,0.1636171,-3.217703,3.438609,-2.700687,2.729691,2.046637,-2.639911,-2.471585,1.869833,-6.927145,1.859345,-3.407286,1.132417,-0.4812122,-1.279516,1.859345,-1.084676,-3.407286,-4.849321,-3.74855,-3.74855,-5.542626,-2.639911,2.381339,-3.51232,-1.982253,2.904368,5.457262,2.266968,-0.8428626,3.015991,-2.973168,-1.647118,-0.9868171,1.216997,-2.973168,2.716678,3.683441,-2.52554,-0.5494429,0.8704635,-2.764136,1.677278,3.223426,-6.927145
"af422ea5-0c8c-5a97-9563-6f85cc08f01e",8.50432396500097,10.3349601952129,0.0973502036001165,3.50873177839822,-3.00938921565347,1.20219441443788,0.737694067743304,6.74334741666491,6.50129977417814,-6.92714510255904,0.0232996704140449,5.88007854656335,4.34680919692764,1.07967130741305,2.70300509957909,1.53535403379488,5.67243102958833,5.97439042317603,3.52559348635486,-4.83732924663914,5.71053376155169,4.7782111497535,5.40479243758839,7.00618317946919,-5.86665094606659,0.863275689204058,3.20392272001175,2.84411194593749,0.658370757346054,3.62386790674222,2.69308855536707,-4.24272379879048,-3.35954394701504,-1.38497613057649,4.42017963021251,-0.452428265828286,4.9784624816389,-4.01758804675416,4.57722823158304,2.9561491277487,-1.48951168023757,3.66096991450217,2.59850849839239,-5.26207458027503,-0.041451847781544,2.3760881370813,2.18836510009567,-0.0152014790625002,-3.35954394701504,1.86001368065559,-0.680935439149599,0.179196604576941,-2.28998658412614,4.57290865459297,3.88743792850441,4.45110520912982,0.827460944508781,-1.68256409438982,-0.180385103149374,0.641968967090924,-1.64183158079517,4.06863198817341,4.51666946274287,6.75209,-4.509608,0.2886095,-1.526111,-0.765923,-4.509608,3.102682,1.813171,-2.005307,-0.9278789,-4.242724,2.822442,-1.1384,2.130756,1.19659,-2.727839,-3.009389,1.429436,-6.927145,1.499388,-4.017588,0.4194681,-0.8562322,-2.492365,1.462503,-2.354343,-2.727839,-5.866651,-4.242724,-4.017588,-4.509608,-2.727839,2.410386,-4.242724,-3.233145,2.585702,5.302518,2.807812,-1.351749,2.471996,-1.858071,-2.228379,-0.3504539,0.1677847,-4.242724,2.63626,2.585702,-3.651368,-1.31927,0.7143516,-2.289987,2.067683,2.947833,-6.927145
"4af4a340-d9c2-5a84-8f1b-c46fdc831ea0",8.45959135478453,10.4869542957835,2.96425707638915,5.30522968081464,4.53873089975786,3.58874989657122,-3.55981138495045,-3.11489066918064,8.4444478162741,-5.4091405254861,-6.92714510255904,3.0006033961877,4.0217939556437,2.49687908788835,-4.20646394178574,-2.93514058274337,-2.38072233002061,-2.93514058274337,-6.92714510255904,0.706419329048631,6.16120561925789,7.64899410841759,5.23714479291206,7.77176514876384,-1.9812029302785,0.608369098342537,0.746483228028489,-5.4091405254861,2.70774078104375,1.51452951473756,-4.20646394178574,1.53754726407398,-6.92714510255904,3.73199604297065,1.60447582765551,-2.50065139666481,4.8656819173214,3.61062213136186,-5.4091405254861,-1.29887861627614,-1.04983412798314,5.21589824566479,1.74953238722311,-6.92714510255904,4.90308789497083,-6.92714510255904,1.51452951473756,-5.4091405254861,0.67907829966914,-3.11489066918064,2.14382540413802,1.55269090654953,2.31789088555706,5.87492273439141,6.60660171333433,1.61172423739043,0.593801667588033,2.12368530344767,4.58549871956815,6.17227839877218,-5.4091405254861,7.91047655812901,5.4426551412861,7.167439,-3.114891,-0.1330822,2.520178,-6.927145,-6.927145,3.269362,3.385978,-5.409141,4.245636,0.7854645,7.962076,-6.927145,0.2847605,-2.167177,5.107269,0.9316402,0.248019,-1.049834,4.915588,-1.354296,-4.206464,-6.927145,1.043069,-3.559811,-2.631461,-6.927145,-6.927145,-2.071195,-6.927145,-6.927145,-5.409141,0.8964612,0.8604029,0.3896836,-6.927145,-3.114891,-2.071195,-6.927145,-3.847206,2.680425,-6.927145,5.071573,0.503166,0.471643,-3.847206,4.031285,4.032636,-6.927145,1.742946,-5.409141,4.052747,0.7854645,-6.927145
"37878c0e-6ecb-564c-bffa-344423eeb628",7.8729054804201,9.62473900483799,-0.762071674357967,4.5105238291082,-0.487614780910638,1.75102920223229,3.16503326975089,6.88240753464356,5.26865448584232,-0.148530992534256,-3.76359699917262,5.16404166948887,1.54368215031298,1.58271170919221,-6.92714510255903,1.80903411700634,5.16404166948887,6.33391295499929,4.8180151690362,-4.27022065803605,5.14223639632918,5.43227568988252,4.23010016191918,6.73023784917361,-6.92714510255903,0.388653450126554,2.20893309858209,3.26767274879135,-0.659138366223888,2.13685665322236,2.57897769918354,-1.81402041518678,1.00496091278374,0.297747876143309,5.06634580907289,1.91013879249529,4.38416176268357,2.6475165389535,3.75150275174061,2.77859654374249,-0.642674818818064,3.89795754595712,3.5531890199294,-1.26805407811313,-1.57659364415803,2.55419856948581,2.45824554885851,6.25414832266368,-0.269704137203628,2.53804140607968,-2.7029836088009,2.08590107704302,-0.779964550758653,4.27844849802906,2.83258410183885,3.4340695448547,1.07133144223706,-0.183826429829567,1.23618535987878,-1.96958938930466,-2.45287233094071,3.73820687062664,5.07849914139536,8.559371,-1.218413,2.264545,-2.923891,2.817789,-4.080883,2.536235,5.027653,3.885241,-4.488216,-1.742106,2.599883,0.1064799,3.330518,3.795965,-1.608212,-1.81402,-0.2078458,-6.927145,0.5901509,-6.01298,2.305422,0.6177458,-1.372775,3.325297,-0.1957861,-1.400187,-1.29353,-3.283494,0.4281535,-6.01298,0.03664102,4.534249,-6.927145,-5.457802,2.831111,5.284075,2.817789,-0.4019957,3.145022,-3.503666,-1.24302,-1.515363,-0.2697041,-3.092517,3.920984,4.71758,-1.777615,0.4281535,0.6648023,3.754613,3.169702,3.662391,1.462305
"7bd04ce5-73db-52b4-8b8d-204319b5ffdb",8.26941765898153,4.5461114290724,0.438540511415918,3.05010823375768,-2.31726176839411,1.39630926811524,1.84576187319088,7.34823780104499,6.99220109493364,-2.93596582490831,-5.28147812335637,5.32125486853524,2.32017379763217,3.45177611275072,1.55932538522913,2.72701395088332,6.22214508000447,6.92525180489276,4.49105979098505,-2.08537209238905,3.51274702003766,3.41911712812073,3.83623545177726,7.02938364584963,-6.92714510255903,-0.609366803497782,0.342286307180761,4.33973861637208,-1.79527593878932,3.71078002157864,1.86667392201072,-4.53267223561871,-6.92714510255903,-2.08537209238905,4.59705523192348,-0.955858640180516,4.3434730431324,-2.59369824893646,4.4373227597805,2.70008068658746,-2.19666287713429,2.42728041053927,2.50046673919156,-1.79527593878932,-3.67683544331352,0.104783902870527,1.57635157468436,3.69527681027083,-3.14331669382095,1.80300583159174,1.49809971978459,1.96691543311524,-2.44886907312634,3.09510520331069,4.96264173259171,3.58392900740396,-2.31726176839411,-0.955858640180516,0.580321381003184,-0.29880105343553,-3.14331669382095,5.49863246313569,5.15695825126731,2.723197,-3.143317,0.5287725,-1.166309,2.048492,-4.532672,2.790403,3.435539,-1.481601,-1.62993,-4.532672,4.440813,-6.927145,4.298009,1.377005,1.386689,-4.532672,-1.05725,-5.281478,1.405865,-3.143317,1.415359,-1.55386,-0.8611277,1.212499,0.4197966,-1.005664,-4.042201,-4.532672,-0.8611277,-6.927145,0.5633423,1.550736,-6.927145,-1.795276,3.301174,5.347527,2.882265,-1.412789,3.673684,-5.281478,-0.6885041,-2.448869,-0.4982491,-1.284291,3.784061,2.482515,-0.4630337,1.377005,1.626257,3.627464,0.6782022,4.80003,1.026791
